"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,2194700,100,188216628,1008361.7276671948,0,0,0,2194700
"Ethernet",100,2194700,16.324700068476414,30725800,164612.02764697652,0,0,0,2194700
"Internet Protocol Version 4",99.96008566091038,2193824,23.31173842940168,43876568,235066.64837597215,0,0,0,2193824
"User Datagram Protocol",0.9894746434592427,21716,0.09230215302762729,173728,930.7395849434006,0,0,0,21716
"SOME/IP Protocol",0.9894746434592427,21716,0.576801322782172,1085636,5816.243783613543,3021,110332,591.0984981463855,21716
"SOME/IP Service Discovery Protocol",0.8518248507768715,18695,0.3592583754077243,676184,3622.623961050426,18695,676184,3622.623961050426,18695
"Transmission Control Protocol",98.9696086025425,2172086,59.681239215485256,112330016,601802.7748464585,1085100,34723480,186029.41012957308,2172086
"SOME/IP Protocol",49.52777144940083,1086986,22.75196642031011,42822984,229422.12167409906,1086986,42822984,229422.12167409906,1086986
"Internet Group Management Protocol",0.0010024149086435505,22,0.00018701854546028737,352,1.8858234360614121,22,352,1.8858234360614121,22
"Address Resolution Protocol",0.03991433908962501,876,0.013031792281391844,24528,131.40760579464293,876,24528,131.40760579464293,876
