label,threshold,pr_auc,roc_auc,f1,precision,recall,tn,fp,fn,tp,fp_per_million_normal,fn_per_million_attack
baseline_test_imbalanced_f1_val_threshold,0.4307765364646911,0.9315475525863326,0.9874076264318724,0.8445151975631523,0.9884222514744408,0.7371862664063074,6278337,7177,218440,612719,1141.831837459912,262813.73359369265
baseline_test_balanced_f1_val_threshold,0.4307765364646911,0.9872155002231164,0.987444719696989,0.8481520009578962,0.9984437991506891,0.7371862664063074,830204,955,218440,612719,1148.9979654915603,262813.73359369265
baseline_test_imbalanced_f2.0_val_threshold,0.1726080924272537,0.9315475525863326,0.9874076264318724,0.7478187954085432,0.6127584158309309,0.9592508773892842,5781655,503859,33869,797290,80161.9406145623,40749.12261071588
baseline_test_balanced_f2.0_val_threshold,0.1726080924272537,0.9872155002231164,0.987444719696989,0.9408761716846178,0.9231921799210998,0.9592508773892842,764826,66333,33869,797290,79807.83460204366,40749.12261071588
baseline_test_imbalanced_recall_0.97_threshold,0.1371390968561172,0.9315475525863326,0.9874076264318724,0.7358767468309215,0.5926568210910277,0.970375102718012,5731168,554346,24623,806536,88194.21927944159,29624.897281988164
baseline_test_balanced_recall_0.97_threshold,0.1371390968561172,0.9872155002231164,0.987444719696989,0.9429028537759148,0.916943310080128,0.970375102718012,758103,73056,24623,806536,87896.53965125806,29624.897281988164
ctgan_xgboost_test_imbalanced_f1_val_threshold,0.399446040391922,0.9310065561943248,0.987295684821645,0.8436108342385745,0.9867477101770624,0.7367399017516504,6277290,8224,218811,612348,1308.4053269151896,263260.0982483496
ctgan_xgboost_test_balanced_f1_val_threshold,0.399446040391922,0.987102358116241,0.9873409412080784,0.8477722283946131,0.9982101114034488,0.7367399017516504,830061,1098,218811,612348,1321.0468755075744,263260.0982483496
ctgan_xgboost_test_imbalanced_f2.0_val_threshold,0.1647515296936035,0.9310065561943248,0.987295684821645,0.7436175040187419,0.6055914388468527,0.9631346108265688,5764154,521360,30641,800518,82946.27933371878,36865.38917343132
ctgan_xgboost_test_balanced_f2.0_val_threshold,0.1647515296936035,0.987102358116241,0.9873409412080784,0.94161306866034,0.9210323153691008,0.9631346108265688,762524,68635,30641,800518,82577.4611115322,36865.38917343132
ctgan_xgboost_test_imbalanced_recall_0.97_threshold,0.1427686661481857,0.9310065561943248,0.987295684821645,0.7353151220961684,0.5918466913269761,0.9705952771972632,5729179,556335,24440,806719,88510.66118061307,29404.722802736906
ctgan_xgboost_test_balanced_recall_0.97_threshold,0.1427686661481857,0.987102358116241,0.9873409412080784,0.9429068008780151,0.9167542640512834,0.9705952771972632,757905,73254,24440,806719,88134.76121897253,29404.722802736906
